Compound ID,ALT,homodimer_dG,monomer_dG,ddG_dimerization,wing5_homodimer_dG,wing3_homodimer_dG,wing5_wing3_dG
116847,34.27777777777778,-4.403980236830932,-0.05249457293857491,-4.298991090953782,-2.823779734467297,-2.574986869741726,-3.2176909052226845
141923,88.66666666666667,-8.880662836349888,-1.9868882563082355,-4.906886323733417,,,
142082,81.5,-5.727614628567105,-0.6009365341306974,-4.52574156030571,-3.6155013858546647,-3.4258933894607235,-3.986204086078665
146779,43.0,-4.014038933832748,-0.062238430741895306,-3.8895620723489577,-3.5365962520631538,,-2.933205244877535
146786,31.666666666666668,-4.139808107052593,-0.07696328407722755,-3.9858815388981377,-2.7047281224988464,,-2.9148071874547266
147420,1599.4,-4.338759766234197,-0.103632237852616,-4.131495290528965,-3.480275705367359,-2.574986869741726,-3.5532140627359947
299005,50.0,-3.92221580581724,-0.015073818391950728,-3.8920681690333385,-2.7782505595625846,,-2.4965891974832264
304299,44.833333333333336,-5.464796222911043,-0.42204174093625335,-4.6207127410385365,,-3.684798813356552,-3.682092636028121
304309,512.8,-4.5215526435890885,-0.13750506097598797,-4.246542521637113,-3.5456262336244624,-2.6910598480481314,-3.647184370470272
304311,34.0,-5.445221992317394,-0.43807165613848453,-4.569078680040425,,,
304312,43.0,-5.322621290886436,-0.41650902707079285,-4.48960323674485,,-2.629115798136584,-2.3785647055443473
304313,42.0,-8.905116218086139,-2.027815936656556,-4.849484344773027,-3.041853081692726,-3.5365962520631538,-3.510846795426706
304538,71.0,-4.5608744546209525,-0.11590871868573546,-4.3290570172494816,,,-3.512653128774142
304539,151.0,-4.757763282394516,-0.161531602482404,-4.434700077429708,-3.052108371527139,,-2.729147819505534
325568,47.0,-4.647359841798794,-0.13602199869605733,-4.375315844406679,,,
353382,30.0,-12.710949344983558,-0.7829224194027578,-11.145104506178042,-3.587684653619558,,-2.7183911438949284
373125,36.0,-4.942811764790224,-0.28627343548410145,-4.370264893822021,-3.3619226398268385,-2.582769405570667,-3.7370434003817303
377131,36.75,-5.270204418739792,-0.5703922950097309,-4.12941982872033,-3.1434108720337686,,-3.878616841066709
387973,37.0,-5.454243015655283,-0.31035455482894997,-4.833533905997383,-4.016840352743225,-3.3817247244714412,-3.297474210161927
387975,67.0,-10.002053369153304,-0.9442426661951685,-8.113568036762967,-3.623803622022508,-3.6473103740150976,-4.059486753378546
387978,33.0,-8.863120476326067,-0.676757583904621,-7.509605308516825,,-3.3694933287240216,-3.786649972106974
387983,45.0,-7.05842748932733,-0.9336613167280411,-5.191104855871248,,-2.5592382046376425,-2.7903533734541406
387984,60.0,-7.833917642318378,-1.1178208683207314,-5.598275905676915,-4.687432049233783,-1.7921753153597857,-4.159988402531828
387985,30.0,-6.584902177643375,-0.5539520248634162,-5.476998127916543,,-4.923449278252422,-3.9030674576646107
387986,780.0,-6.724380369900979,-0.7356464310204579,-5.253087507860063,-3.543649525076898,-3.3817247244714412,-4.372384941775164
388004,36.0,-8.175826959438476,-0.7919074010769547,-6.592012157284566,,-3.3817247244714412,-4.624214350531663
388008,48.0,-7.556044926226374,-1.2810496209751479,-4.993945684276078,-5.147023516587696,-4.921569075878132,-6.253278586399759
388010,73.0,-5.855616389592467,-0.3418215122721176,-5.171973365048232,-3.677182016844981,-4.005753861364933,-4.348834487305375
398471,33.0,-3.6186100748484424,-0.04636388005954639,-3.5258823147293494,-2.4547759950818393,,-2.9451614191648416
398486,447.0,-4.448227214742065,-0.24672782024697507,-3.954771574248115,-2.4717285393542383,-1.997665319915086,-2.8704624491328983
398491,56.0,-4.1793274030193155,-0.199113346091112,-3.7811007108370913,,-3.366695189147141,-2.933205244877535
398506,884.0,-4.193105002678331,-0.11226746979852015,-3.968570063081291,-2.561325680984191,-2.5968604333672203,-2.9299770640486114
398507,2381.0,-3.938075635915853,-0.08236076948253451,-3.7733540969507837,,-2.628233934149791,-3.183816118748138
398508,643.0,-4.065865046074621,-0.0963585179951624,-3.873148010084296,-2.593135862132229,-2.628233934149791,-3.1499081944156635
404173,63.25,-5.403898578429211,-0.3852938610785593,-4.633310856272092,-3.4096616511668056,-2.7364523714200675,-3.4657832988878634
407935,373.0,,0.0,,,,
409826,98.66666666666667,-5.04690453049777,-0.228581215539806,-4.5897420994181575,,-3.4459291010065765,-3.0520433838459895
410002,149.66666666666666,-5.403898578429211,-0.3852938610785593,-4.633310856272092,,-2.7364523714200675,-2.681534504224231
410003,53.0,-5.727614628567105,-0.6009365341306974,-4.52574156030571,,-3.4258933894607235,-2.8413810876106966
412223,60.0,-4.404433938804333,-0.10944170449446845,-4.185550529815396,-3.2039891138621908,-1.895332921830127,-2.866400008958164
412224,214.0,-5.218997945812811,-0.25586961233582867,-4.707258721141153,-3.4459291010065765,,-3.261723090757296
412225,40.0,-4.152948509358609,-0.1244001268006677,-3.9041482557572733,,,-2.673638966130581
413481,85.0,-4.949474453489838,-0.13140948740328665,-4.686655478683265,-1.772353620267618,,-2.4406472766368306
413482,54.0,-4.636097002508226,-0.24030569876992056,-4.155485604968385,,-2.5200811349237866,-1.9789600412233554
416825,295.0,-4.394552253663219,-0.05476231081777213,-4.285027632027675,-3.2752485078342954,-2.2480933007914135,-3.2167025415972197
416826,754.0,-4.517105167712098,-0.07453071631968515,-4.368043735072728,-2.629115798136584,-2.449753033877369,-3.2332630900205124
416838,81.0,-4.872715343065104,-0.27696057133890895,-4.318794200387286,,-2.887607661944378,-2.9148071874547266
416848,153.0,-4.352956334501504,-0.10414887418571928,-4.144658586130065,-3.2039891138621908,-1.9811221590685817,-2.9177414731938245
416849,1056.0,-4.923415070175126,-0.13325698852928894,-4.656901093116548,-2.5200811349237866,-1.9811221590685817,-2.659726294589892
416850,74.36666666666666,-4.92343893564207,-0.12971559604778327,-4.664007743546503,-2.438536868675034,,-1.961273588336079
416851,47.0,-4.949474453489838,-0.13140948740328656,-4.686655478683265,-2.7047281224988464,,-2.4406472766368306
416852,49.0,-4.981785218022505,-0.14755236569862956,-4.686680486625246,,-1.9619230181515694,-2.673638966130581
416853,1023.0,-4.997855783385205,-0.16571000665490968,-4.666435770075386,,-2.2440964064076434,-2.364130328060901
416854,1613.0,-5.097809447078689,-0.2273805035640941,-4.643048439950501,-2.495819605023395,,-2.4172698105901986
416855,786.0,-5.097809447078689,-0.2273805035640941,-4.643048439950501,-2.495819605023395,,-2.4172698105901986
416856,130.0,-5.1525283752885604,-0.22620804932223776,-4.700112276644085,-3.3619226398268385,,-3.2674505230163655
416857,370.0,-5.03467191434463,-0.19678305644122576,-4.641105801462178,-3.3619226398268385,-2.449458524953813,-3.2010273462858088
416858,172.0,-5.1198725857840675,-0.22736893160151053,-4.665134722581047,-2.5968604333672203,-2.449458524953813,-3.263384715626346
416859,214.0,-4.9164260103731845,-0.2567361458015349,-4.402953718770115,,-3.2039891138621908,-2.917631882165336
416860,189.0,-4.560929192988143,-0.23285426373379356,-4.095220665520555,,-2.438536868675034,-1.961273588336079
416861,38.0,-4.400075852915436,-0.1904104735620629,-4.0192549057913105,,-2.7047281224988464,-2.4406472766368306
416862,225.0,-4.151044734116628,-0.13506832585667186,-3.880908082403284,,-1.772353620267618,-2.258355720215834
416863,41.0,-4.151044734116628,-0.13506832585667186,-3.880908082403284,,-1.772353620267618,-2.258355720215834
416864,54.0,-4.152948509358609,-0.1244001268006677,-3.9041482557572733,,,-2.673638966130581
416865,383.0,-4.137032194228684,-0.11096086267419529,-3.9151104688802936,-1.9619230181515694,,-2.9201958318876162
416866,36.0,-4.052168957993045,-0.0954958394913718,-3.861177279010301,-1.9619230181515694,-2.495819605023395,-3.118158129849954
416867,45.0,-4.344648373887181,-0.10957710637226635,-4.125494161142648,-2.7364523714200675,-3.4459291010065765,-3.414650346761579
416892,1177.0,-4.394552253663219,-0.05476231081777213,-4.285027632027675,,-1.753651748421824,-2.096905160867117
416925,576.0,-4.949474453489838,-0.13140948740328665,-4.686655478683265,,,-1.1668776937268008
416999,507.6666666666667,-4.923415070175126,-0.13325698852928894,-4.656901093116548,,-1.9811221590685817,-1.30015966232487
417002,929.3333333333334,-4.949474453489838,-0.13140948740328665,-4.686655478683265,,,
417003,922.6666666666666,-4.981785218022505,-0.14755236569862956,-4.686680486625246,,-1.9619230181515694,-1.961273588336079
420470,60.75,-6.337405269722709,-0.5737557260099545,-5.189893817702799,-2.628233934149791,,-3.191312825731629
420476,52.25,-5.3416559743941425,-0.21585655031844375,-4.909942873757255,-3.5939902059390896,-3.491100451990444,-3.9572649334069117
420913,42.0,-5.505473478773757,-0.42600651042020404,-4.653460457933349,,-4.131897101430084,-3.398998495529476
420915,41.603238866396765,-7.58705549058026,-0.8700811277183124,-5.846893235143636,-2.5814727635412775,-2.057207607224364,-3.17847856855623
420919,63.0,-6.05674802513881,-0.5954045708373374,-4.8659388834641355,-3.976699939620404,-2.593135862132229,-4.050884352443294
420921,49.0,-6.596732888074909,-0.5139301593364084,-5.568872569402092,-2.7782505595625846,-3.6473103740150976,-3.6867028553207732
420922,41.0,-6.569698766667719,-0.42895748051365057,-5.711783805640418,-2.256448785576293,-3.7839116628976055,-3.43346120595396
420937,33.0,-7.000999503697899,-0.7074780490744872,-5.586043405548924,-2.629115798136584,-3.4096616511668056,-3.606859741515359
420944,38.0,-5.974093500622742,-0.6834389693803626,-4.6072155618620165,-1.772353620267618,-3.1390115419002136,-2.8758123071351207
420947,42.0,-5.605475255079007,-0.5295293535669677,-4.546416547945071,-1.9757477041774807,,-3.178301870522913
420949,46.0,-4.251963940948055,-0.09816581360901448,-4.055632313730026,-3.3465599160973465,-1.7623168655730925,-3.0599966308323063
420950,55.0,-4.316012166444679,-0.10172798649124074,-4.112556193462198,-2.7620638750313136,-1.7623168655730925,-2.9017198302996987
420951,545.375,-4.090350141852823,-0.07566424449632088,-3.939021652860181,,,
420952,151.0,-4.117071900942324,-0.0831329868110459,-3.9508059273202316,,,
420953,982.0,-4.437646128690013,-0.15020748480149498,-4.137231159087023,-2.629115798136584,,-2.4955361551662563
420955,50.5,-5.533149317019002,-0.5714709071873115,-4.390207502644379,-3.5365962520631538,,-4.05206002572639
420957,44.5,-5.603155932576165,-0.5998797431827247,-4.403396446210715,,,-3.647138251905309
420959,39.5,-5.817411022799356,-0.6606042578298675,-4.496202507139621,,,-3.566482952956343
425653,35.0,-8.710754559710693,-2.140737757733238,-4.429279044244217,-3.4182600670763383,,-2.802550760864325
425655,342.2,-8.98930314112059,-1.964942802836071,-5.059417535448448,-1.757197510110011,,-2.9338417192720208
425656,229.2,-8.82293429276828,-1.6660604596250945,-5.490813373518092,-3.2561053732019505,,-2.86566687153287
425679,376.3333333333333,-6.022017233042316,-0.2393699259047629,-5.54327738123279,,,
425695,669.4,-8.98930314112059,-1.964942802836071,-5.059417535448448,,-1.9619230181515694,-1.9789600412233557
425736,33.333333333333336,-8.82293429276828,-1.6660604596250945,-5.490813373518092,-3.3907970861819097,-3.2355876850209304,-3.6146059269160618
425737,36.333333333333336,-7.4183294437235805,-0.7067685144053242,-6.004792414912933,,-2.9260715726441644,-3.9747196872138075
425755,135.66666666666666,-6.022017233042316,-0.2393699259047629,-5.54327738123279,,-4.2225743373143905,-2.511387340044146
425757,1904.0,-5.526470041975213,-0.22903235821526552,-5.068405325544682,-2.443821190694092,-4.716501474054283,-3.543955858202799
426115,34.5,-4.674958803174048,-0.15628230997396927,-4.36239418322611,-2.816097144095327,,-2.405310485578419
426130,32.0,-4.1424855487566585,-0.07026464960572514,-4.001956249545208,-3.613393831845297,,-3.53048912524338
426168,45.5,-5.571781679443764,-0.33124394790615425,-4.909293783631456,,-3.5949594119138144,-3.924928410389266
426172,32.5,-5.047314679670853,-0.1482966684177804,-4.750721342835292,,-2.582769405570667,-3.6199324728001634
426183,36.0,-4.602540136988259,-0.13700778221449578,-4.328524572559267,,,
426246,478.0,-5.571781679443764,-0.33124394790615425,-4.909293783631456,,,-2.261207210006285
426261,58.0,-4.602540136988259,-0.13700778221449578,-4.328524572559267,,,
426262,46.5,-4.602540136988259,-0.13700778221449578,-4.328524572559267,,,
426325,63.75,-5.047314679670853,-0.1482966684177804,-4.750721342835292,,-2.582769405570667,-3.137686821862866
436034,1481.0,-4.069790373191614,-0.05389464770396681,-3.9620010777836803,-2.230333022805876,,-2.2687035263825743
436140,40.0,-4.9059684487372515,-0.1743980806781935,-4.557172287380864,-2.7620638750313136,,-3.8915646256308576
436141,232.0,-4.6887633260591794,-0.14153091948451535,-4.405701487090148,-2.449458524953813,,-3.2837986749766404
438452,96.33333333333333,-12.89548944964588,-0.8192111395510283,-11.257067170543822,,-2.2741815062128015,-1.347477766689777
438460,95.33333333333333,-12.226557532829409,-0.42524149928526367,-11.376074534258882,,,
440762,32.0,-12.696642797661944,-0.4678771815912009,-11.760888434479542,,,
443919,68.0,-6.722830203005379,-0.27596962658102947,-6.1708909498433195,-1.757197510110011,,-2.5158882876072735
445498,66.0,-4.949474453489838,-0.13140948740328665,-4.686655478683265,-2.7047281224988464,-1.9619230181515694,-2.78376797195058
445503,1314.0,-5.218997945812811,-0.25586961233582867,-4.707258721141153,-3.4459291010065765,,-3.355662960665338
445504,71.0,-5.1525283752885604,-0.22620804932223776,-4.700112276644085,-3.4459291010065765,-2.6606900999758203,-3.4398463355670197
445505,116.0,-5.03467191434463,-0.19678305644122576,-4.641105801462178,-3.4459291010065765,-3.7637541956616607,-3.789510093552971
445509,80.0,-4.560929192988143,-0.23285426373379356,-4.095220665520555,,-2.936657245528524,-2.617526455186042
445513,37.0,-4.152948509358609,-0.1244001268006677,-3.9041482557572733,,,-3.257898637743168
445522,51.0,-4.900849027346384,-0.1282723714072624,-4.644304284531859,-2.5200811349237866,,-1.9789600412233557
445530,104.0,-5.03467191434463,-0.19678305644122576,-4.641105801462178,-3.4459291010065765,-2.449458524953813,-3.2808428357164185
445531,60.0,-5.03467191434463,-0.19678305644122576,-4.641105801462178,-3.3619226398268385,-2.449458524953813,-3.2010273462858088
445532,395.0,-4.696399323512461,-0.1834183768642955,-4.32956256978387,-3.3619226398268385,-3.2039891138621908,-3.3946402374600386
445569,162.75,-4.483441044493579,-0.19351269905454088,-4.0964156463844965,,-3.4096616511668056,-2.7207701148735626
446431,74.0,-10.459435549394781,-1.8594963951651042,-6.740442759064573,-3.4096616511668056,-4.098407764624116,-2.5336685428791723
446432,29.333333333333332,-8.549954522205375,-1.4500884287730667,-5.649777664659242,-2.3576957759766066,,-1.347477766689777
446433,72.0,-11.90365212108853,-0.14012388152120403,-11.623404358046123,,,
446434,71.0,-11.256313601214611,-0.10958767814570253,-11.037138244923206,,,
448718,378.0,-4.4832646095453645,-0.09093363418652184,-4.301397341172321,,-1.9757477041774807,-2.39738126360406
448730,852.0,-4.222608158749212,-0.035568415013325125,-4.151471328722562,-2.7679721484114848,,-2.810509940190963
448754,71.0,-4.2601023483233735,-0.036789560170968134,-4.1865232279814375,-2.6910598480481314,-3.122097247313938,-3.1834146952502813
448766,47.0,-4.167120800520218,-0.17575963139705564,-3.8156015377261063,,,-3.3667644003237696
448817,211.0,-3.8747441314572653,-0.06280471607721667,-3.749134699302832,-2.561325680984191,-2.2393697453248116,-2.8289828306214924
448818,33.0,-3.95654036241475,-0.0955034893611393,-3.7655333836924716,-2.593135862132229,-2.2150127414781,-3.5036494530808158
448819,196.0,-4.240931807031345,-0.09670962487255802,-4.047512557286229,-2.995108214816082,-1.772353620267618,-3.2473531238158975
448848,1677.0,-3.9712294738359173,-0.049504566518700104,-3.872220340798517,-2.4717285393542383,-2.2480933007914135,-2.806453812376964
448860,951.0,-3.6539077404919875,-0.05164815304769875,-3.55061143439659,-2.230333022805876,,-3.028827582570773
448890,402.0,-3.79286712947518,-0.010884236334014342,-3.7710986568071516,,-1.9757477041774807,-2.5574143362812745
449093,961.6666666666666,-12.696861543428083,-0.7119566473843918,-11.272948248659299,,,
449707,41.0,-4.314183327672549,-0.10094858355725012,-4.11228616055805,-2.2584045489120346,,-1.9789600412233557
449708,66.0,-4.314183327672549,-0.10094858355725012,-4.11228616055805,,,
449709,62.0,-4.900849027346384,-0.1282723714072624,-4.644304284531859,,,
449710,43.0,-4.314183327672549,-0.10094858355725012,-4.11228616055805,,,
449711,52.0,-4.314183327672549,-0.10094858355725012,-4.11228616055805,,,
449884,38.0,-3.3814454458332097,-0.0043640575061795915,-3.3727173308208505,,-1.772353620267618,-1.30015966232487
449954,1465.0,-3.676242036148541,-0.029214122429429563,-3.6178137912896817,,,
449956,55.0,-3.822497428533743,-0.05566257932514066,-3.7111722698834617,,-1.995430405024465,-2.4126063646220333
450518,103.0,-6.022017233042316,-0.2393699259047629,-5.54327738123279,,-4.2225743373143905,-2.511387340044146
450519,64.0,-6.022017233042316,-0.2393699259047629,-5.54327738123279,,-4.2225743373143905,-2.511387340044146
450520,350.0,-6.022017233042316,-0.2393699259047629,-5.54327738123279,,-4.2225743373143905,-2.511387340044146
450521,104.0,-6.022017233042316,-0.2393699259047629,-5.54327738123279,,-4.2225743373143905,-2.511387340044146
450522,109.0,-6.022017233042316,-0.2393699259047629,-5.54327738123279,,-4.2225743373143905,-2.511387340044146
450523,80.0,-6.022017233042316,-0.2393699259047629,-5.54327738123279,,-4.2225743373143905,-2.511387340044146
457847,30000.0,-14.12858058887444,-0.4617688063297222,-13.205042976214996,,,
459014,27.0,-4.323574164542559,-0.16724743404115003,-3.989079296460259,,,
459024,52.0,-4.062084343384741,-0.10453098015706497,-3.853022383070611,,-3.269556259127227,-1.9970291037742838
459032,50.0,-3.7667191220887264,-0.05142492435513187,-3.6638692733784626,,-2.2584045489120346,-2.1927652379846925
459040,37.0,-4.1714906608463425,-0.023767684435400484,-4.123955291975541,-1.753651748421824,,-2.681750449542865
459046,41.0,-4.2601023483233735,-0.036789560170968134,-4.1865232279814375,,-2.128660295874178,-1.414076785165688
459076,33.0,-4.175559261621732,-0.08950792109875612,-3.9965434194242198,,,-2.6766363245514424
459157,25.0,-4.3504993976717765,-0.04977826130157273,-4.250942875068631,,-3.6282643225311197,-3.3697986649691876
463588,55.0,-3.92221580581724,-0.015073818391950728,-3.8920681690333385,-3.623803622022508,,-2.978631946166465
463589,64.0,-3.9794069818980926,-0.08475096629842063,-3.809905049301251,,,
463628,48.0,-4.268325443170384,-0.058788693104699107,-4.150748056960985,-3.538125439257187,,-3.059931515747757
463690,71.0,-4.018800034051026,-0.1960541320060703,-3.626691770038885,,,-3.178301870522913
463691,145.0,-3.9051083994066507,-0.18365222244272736,-3.537803954521196,-1.9757477041774807,-2.629115798136584,-3.18429234616994
463835,159.0,-4.782254810162857,-0.1879538170396885,-4.40634717608348,-3.2752485078342954,-2.816097144095327,-3.708840993556458
