feature,importance
EState_VSA5,0.040636635905698125
MinAbsEStateIndex,0.03945813709464127
EState_VSA3,0.038419940007481924
EState_VSA2,0.037444734268084166
SlogP_VSA6,0.035919256402405314
MinEStateIndex,0.030145590253362168
MinAbsPartialCharge,0.028951779090111315
MaxEStateIndex,0.028518726058004387
SlogP_VSA1,0.027911882106240012
EState_VSA6,0.027807028264500818
MaxPartialCharge,0.027583588152166053
PEOE_VSA3,0.026792246931234612
MolLogP,0.02666504520511613
MaxAbsEStateIndex,0.026450528883652152
Kappa1,0.025936818504066383
Kappa2,0.024557013075232018
EState_VSA1,0.024096593825000016
BertzCT,0.02318239780526699
Kappa3,0.02248199619302608
SMR_VSA7,0.022156914914106186
