descriptor,n,spearman_rho,p_value,p_fdr,significant
EState_VSA3,1963,-0.30386434568362397,3.2926282300413686e-43,1.8767980911235802e-41,True
MinAbsEStateIndex,1963,-0.2888228887005279,5.026813265330784e-39,1.4326417806192736e-37,True
PEOE_VSA3,1963,-0.27820989207096475,3.1916819939028066e-36,6.064195788415333e-35,True
SlogP_VSA2,1963,-0.27274548465858667,7.940050475273993e-35,1.1314571927265441e-33,True
EState_VSA2,1963,0.26630528924878133,3.1928192453950654e-33,3.6398139397503745e-32,True
NumRotatableBonds,1963,-0.25848531762708726,2.475749519525777e-31,2.351962043549488e-30,True
SMR_VSA1,1963,-0.25394122785205464,2.9007060550180945e-30,2.3620035019433058e-29,True
PEOE_VSA7,1963,0.24336072797006417,7.395994743609483e-28,5.2696462548217566e-27,True
NumAliphaticRings,1963,0.2413803754673394,2.0266225709144625e-27,9.626457211843698e-27,True
NumSaturatedHeterocycles,1963,0.2413803754673394,2.0266225709144625e-27,9.626457211843698e-27,True
NumSaturatedRings,1963,0.2413803754673394,2.0266225709144625e-27,9.626457211843698e-27,True
NumAliphaticHeterocycles,1963,0.2413803754673394,2.0266225709144625e-27,9.626457211843698e-27,True
SlogP_VSA3,1963,-0.2357561637543158,3.376909447841199e-26,1.4806449117457565e-25,True
NumHAcceptors,1963,-0.23436634991658142,6.691775742413357e-26,2.7245086951254385e-25,True
EState_VSA5,1963,-0.23419522683322833,7.277450577048954e-26,2.7654312192786026e-25,True
PEOE_VSA1,1963,-0.22995181867521042,5.704456957759789e-25,2.0322127912019248e-24,True
Chi1,1963,-0.2229882878350915,1.5311742681968196e-23,5.1339372521893365e-23,True
NumHeteroatoms,1963,-0.21666911204818848,2.756807876687496e-22,8.729891609510406e-22,True
NOCount,1963,-0.21614596575561976,3.4881070860454483e-22,1.0464321258136346e-21,True
LabuteASA,1963,-0.21571497452653246,4.2322670486820967e-22,1.2061961088743976e-21,True
MolWt,1963,-0.2111733581914404,3.166687094825679e-21,8.595293543098272e-21,True
Chi1v,1963,-0.2098659882496763,5.604165286044139e-21,1.3888583534978953e-20,True
Chi1n,1963,-0.2098659882496763,5.604165286044139e-21,1.3888583534978953e-20,True
MolMR,1963,-0.20720394826003227,1.7709363627917273e-20,4.205973861630353e-20,True
TPSA,1963,-0.1999807350728946,3.714172058456975e-19,8.468312293281904e-19,True
MinEStateIndex,1963,0.1975707432272614,9.99459590844561e-19,2.19112294915923e-18,True
Chi0,1963,-0.19565962703086576,2.1715125515992485e-18,4.584304275598414e-18,True
Chi0n,1963,-0.19349305396358465,5.1835734647676644e-18,1.0188403016957133e-17,True
Chi0v,1963,-0.19349305396358465,5.1835734647676644e-18,1.0188403016957133e-17,True
EState_VSA1,1963,-0.19207200155214263,9.121524738970631e-18,1.73308970040442e-17,True
NumAromaticRings,1963,-0.19012579042520011,1.9639287651034624e-17,3.611094826157979e-17,True
SlogP_VSA6,1963,-0.1874293576279873,5.606560929173793e-17,9.98668665509082e-17,True
SMR_VSA3,1963,-0.1849881468660475,1.4298134331640395e-16,2.469677748192432e-16,True
MolLogP,1963,0.18000488633515024,9.289771829690824e-16,1.557402924389344e-15,True
Kappa2,1963,-0.17986912610994968,9.768404387382533e-16,1.5908544288022981e-15,True
HallKierAlpha,1963,0.17867571693634063,1.5166545206491127e-15,2.4013696576944284e-15,True
NumHDonors,1963,-0.1719262501680968,1.724723853429495e-14,2.657007017445438e-14,True
Kappa3,1963,-0.17037031305500935,2.9797231009511854e-14,4.469584651426778e-14,True
SlogP_VSA5,1963,0.17000568942079114,3.384553370778709e-14,4.946654926522728e-14,True
NHOHCount,1963,-0.16776636600375408,7.355520088638674e-14,1.0481616126310111e-13,True
BertzCT,1963,-0.15889636281990863,1.4356543428628915e-12,1.9959096961752396e-12,True
Kappa1,1963,-0.15565591961821323,4.08047931218671e-12,5.537793352253392e-12,True
FractionCSP3,1963,-0.11454488121150277,3.6086683796358705e-07,4.783583666028944e-07,True
PEOE_VSA8,1963,-0.11217477959718128,6.27500295364639e-07,8.128981099041916e-07,True
MinPartialCharge,1963,0.08388939425583884,0.00019845442228821656,0.00024591091457452924,True
MaxAbsPartialCharge,1963,-0.08388939425583884,0.00019845442228821656,0.00024591091457452924,True
RingCount,1963,-0.07888117023515163,0.00046855833299133383,0.0005682515953299154,True
SMR_VSA7,1963,-0.04974417059384084,0.027530416649192042,0.03269236977091555,True
EState_VSA4,1963,-0.045394537442982164,0.04432599936726123,0.05156289722314062,False
MaxAbsEStateIndex,1963,-0.029432852072533756,0.19240530722313506,0.21504122571997447,False
MaxEStateIndex,1963,-0.029432852072533756,0.19240530722313506,0.21504122571997447,False
EState_VSA6,1963,-0.014288249022572603,0.526942153695378,0.5776096684737798,False
SlogP_VSA1,1963,0.013633590579300994,0.5460498748819727,0.5872611861938196,False
PEOE_VSA2,1963,-0.011657908223522985,0.6057140500037804,0.6393648305595461,False
MaxPartialCharge,1963,-0.006147320100770181,0.7854753541408057,0.799501699750463,False
MinAbsPartialCharge,1963,-0.006147320100770181,0.7854753541408057,0.799501699750463,False
SMR_VSA5,1963,-0.004710033226104759,0.8347996904563275,0.8347996904563275,False
