Species,Region,Target,n,beta,p_value,significant
Mouse,Cortex,SNCA,5,0.027464788732394343,0.7157937202246711,False
Mouse,Cortex,UBE3A-ATS,243,-0.015219368248414345,0.002469801793009998,True
Mouse,Cortex,GFAP,282,-0.01612799631816153,0.028164186527116837,True
Mouse,Cortex,ATXN3,81,-0.014400873671659811,0.19337045090750773,False
Mouse,Cortex,C9ORF72,49,0.005415656526159378,0.4262250535311568,False
Mouse,Cortex,LRRK2,102,-0.0043151053348272385,0.7185494404485533,False
Mouse,Cortex,ATXN2,224,-0.012627223059973703,0.013781024682125099,True
Mouse,Cortex,FUS,14,0.013293352829592153,0.5290997061915459,False
Mouse,Hippocampus,UBE3A-ATS,311,-0.0019909964922773214,0.6818352433863423,False
Mouse,Spinal Cord,UBE3A-ATS,311,0.004572047415265861,0.32022181980890224,False
Mouse,Spinal Cord,GFAP,119,-0.02312999332866882,0.01847012312765351,True
Mouse,Spinal Cord,ATXN3,81,0.00698192825895043,0.5979216978494462,False
Mouse,Spinal Cord,C9ORF72,49,0.003283342891082626,0.6709835086677383,False
Mouse,Spinal Cord,LRRK2,102,-0.0043151053348272385,0.7185494404485533,False
Mouse,Spinal Cord,ATXN2,224,-0.0140223355337224,0.014531809629995653,True
Mouse,Spinal Cord,FUS,14,-0.021118884446982702,0.5192188636142328,False
Mouse,Cerebellum,ATXN3,81,0.004373762859070646,0.615834122345253,False
Mouse,Brain Stem,ATXN3,81,-0.00901229481940538,0.2341467535625636,False
Mouse,Brain Stem,LRRK2,5,-0.08228485153497735,0.32692332448173755,False
Rat,Spinal Cord,SOD1,50,0.032416019794660564,0.00926060949194211,True
