md_metric,biomarker,n,spearman_rho,p_value,p_fdr,significant
radgyr_mean,ALT,91,0.18856084891554895,0.07345650063879276,0.7818821540197143,False
radgyr_mean,AST,91,0.1656978133322633,0.11649021103241548,0.7818821540197143,False
radgyr_mean,ALB,40,-0.007026624438481629,0.9656763797617053,0.9856863418245888,False
radgyr_mean,BUN,91,-0.02432951110456717,0.8189355655577454,0.9733422477142535,False
radgyr_mean,CREA,87,-0.001951647174197013,0.9856863418245888,0.9856863418245888,False
radgyr_mean,TBIL,91,0.19279519272469134,0.0671090746769689,0.7818821540197143,False
radgyr_mean,PC_ratio,22,-0.19141727837380013,0.3934651171176672,0.9310449093698914,False
rmsd_mean,ALT,91,-0.131377038110086,0.21448736386282372,0.8221428021447,False
rmsd_mean,AST,91,-0.11887432513571831,0.2617359679575812,0.8456085118629546,False
rmsd_mean,ALB,40,-0.05900439425738682,0.7176072437774277,0.9733422477142535,False
rmsd_mean,BUN,91,-0.003785298976308354,0.9715930160294304,0.9856863418245888,False
rmsd_mean,CREA,87,0.017811060426199843,0.8699353437222048,0.9733422477142535,False
rmsd_mean,TBIL,91,-0.16866492377865233,0.1100004105852355,0.7818821540197143,False
rmsd_mean,PC_ratio,22,0.4500282326369283,0.035592322115366636,0.7818821540197143,False
e2e_mean,ALT,91,0.17011009141154423,0.10694292774704899,0.7818821540197143,False
e2e_mean,AST,91,0.1601474780817545,0.12941919252405926,0.7818821540197143,False
e2e_mean,ALB,40,-0.06439468149786588,0.6930174764149089,0.9733422477142535,False
e2e_mean,BUN,91,0.019316978354887264,0.8557853516815321,0.9733422477142535,False
e2e_mean,CREA,87,-0.05024123496566049,0.6439858711343787,0.9373768731675348,False
e2e_mean,TBIL,91,0.1958622622341747,0.06279456783173448,0.7818821540197143,False
e2e_mean,PC_ratio,22,-0.3562958780350085,0.10361956526861964,0.7818821540197143,False
sasa_total_mean,ALT,91,-0.015201767835625782,0.8862750258335422,0.9786792942934277,False
sasa_total_mean,AST,91,0.054348691656704015,0.6088855808582937,0.9362939579847822,False
sasa_total_mean,ALB,40,-0.14024372338174979,0.3880658770318757,0.9310449093698914,False
sasa_total_mean,BUN,91,-0.10626728810330928,0.31607611411487546,0.8850131195216513,False
sasa_total_mean,CREA,87,0.11984390428094835,0.2688771664411156,0.8469630742895141,False
sasa_total_mean,TBIL,91,0.18377721172537934,0.08119870207396836,0.7818821540197143,False
sasa_total_mean,PC_ratio,22,-0.018633540372670808,0.9344048422352651,0.9856863418245888,False
sasa_hydrophobic_mean,ALT,91,-0.022034201991187292,0.835765920112707,0.9733422477142535,False
sasa_hydrophobic_mean,AST,91,0.053217920343113984,0.6163683432083358,0.9362939579847822,False
sasa_hydrophobic_mean,ALB,40,-0.09529257800132619,0.558611105274717,0.9362939579847822,False
sasa_hydrophobic_mean,BUN,91,-0.17409187670827855,0.098860752269249,0.7818821540197143,False
sasa_hydrophobic_mean,CREA,87,0.17391547482213568,0.10717627274375414,0.7818821540197143,False
sasa_hydrophobic_mean,TBIL,91,0.2943271431100552,0.0046271739187732025,0.29151195688271175,False
sasa_hydrophobic_mean,PC_ratio,22,0.06606437041219651,0.7702096134744482,0.9733422477142535,False
sasa_polar_mean,ALT,91,0.052214767783236374,0.6230395939794736,0.9362939579847822,False
sasa_polar_mean,AST,91,0.0830400229444849,0.4338892768060879,0.9310449093698914,False
sasa_polar_mean,ALB,40,-0.07854418550412341,0.629983334617843,0.9362939579847822,False
sasa_polar_mean,BUN,91,-0.04008432389648636,0.7059909582207309,0.9733422477142535,False
sasa_polar_mean,CREA,87,0.06140392721433874,0.5720823690463737,0.9362939579847822,False
sasa_polar_mean,TBIL,91,-0.060218125771907854,0.5707018025060242,0.9362939579847822,False
sasa_polar_mean,PC_ratio,22,-0.3054771315640881,0.16682142842253087,0.7906727473178716,False
sasa_phosphate_mean,ALT,91,0.03832692959291089,0.718328242124287,0.9733422477142535,False
sasa_phosphate_mean,AST,91,0.04346302696883377,0.6824862913822272,0.9733422477142535,False
sasa_phosphate_mean,ALB,40,-0.22581453332435483,0.16119567389694095,0.7906727473178716,False
sasa_phosphate_mean,BUN,91,0.07235100927558641,0.4955313827403405,0.9362939579847822,False
sasa_phosphate_mean,CREA,87,0.01439111794805087,0.8947495723723387,0.9786792942934277,False
sasa_phosphate_mean,TBIL,91,0.15058116329416618,0.15423433623890923,0.7906727473178716,False
