Compound,Cortex,Hippocampus,Spinal Cord,Cerebellum,Brain Stem,Species,Dose,Time,Target
333611,NA,NA,50,NA,NA,Rat,500ug,2w,SOD1
383872,NA,NA,70,NA,NA,Rat,500ug,2w,SOD1
611460,NA,NA,56,NA,NA,Rat,500ug,2w,SOD1
611464,NA,NA,56,NA,NA,Rat,500ug,2w,SOD1
611468,NA,NA,64,NA,NA,Rat,500ug,2w,SOD1
611481,NA,NA,61,NA,NA,Rat,500ug,2w,SOD1
611473,NA,NA,69,NA,NA,Rat,500ug,2w,SOD1
611474,NA,NA,32,NA,NA,Rat,500ug,2w,SOD1
611479,NA,NA,81,NA,NA,Rat,500ug,2w,SOD1
611484,NA,NA,59,NA,NA,Rat,500ug,2w,SOD1
611485,NA,NA,58,NA,NA,Rat,500ug,2w,SOD1
611492,NA,NA,52,NA,NA,Rat,500ug,2w,SOD1
611472,NA,NA,89,NA,NA,Rat,500ug,2w,SOD1
611478,NA,NA,76,NA,NA,Rat,500ug,2w,SOD1
611490,NA,NA,49,NA,NA,Rat,500ug,2w,SOD1
611494,NA,NA,63,NA,NA,Rat,500ug,2w,SOD1
611495,NA,NA,70,NA,NA,Rat,500ug,2w,SOD1
611498,NA,NA,67,NA,NA,Rat,500ug,2w,SOD1
611499,NA,NA,53,NA,NA,Rat,500ug,2w,SOD1
611500,NA,NA,45,NA,NA,Rat,500ug,2w,SOD1
611457,NA,NA,52,NA,NA,Rat,500ug,2w,SOD1
611467,NA,NA,76,NA,NA,Rat,500ug,2w,SOD1
611488,NA,NA,86,NA,NA,Rat,500ug,2w,SOD1
612917,NA,NA,54,NA,NA,Rat,500ug,2w,SOD1
612923,NA,NA,46,NA,NA,Rat,500ug,2w,SOD1
612925,NA,NA,34,NA,NA,Rat,500ug,2w,SOD1
612928,NA,NA,17,NA,NA,Rat,500ug,2w,SOD1
612912,NA,NA,44,NA,NA,Rat,500ug,2w,SOD1
612919,NA,NA,41,NA,NA,Rat,500ug,2w,SOD1
612916,NA,NA,30,NA,NA,Rat,500ug,2w,SOD1
612931,NA,NA,23,NA,NA,Rat,500ug,2w,SOD1
612932,NA,NA,76,NA,NA,Rat,500ug,2w,SOD1
612915,NA,NA,49,NA,NA,Rat,500ug,2w,SOD1
612918,NA,NA,31,NA,NA,Rat,500ug,2w,SOD1
612927,NA,NA,27,NA,NA,Rat,500ug,2w,SOD1
612934,NA,NA,50,NA,NA,Rat,500ug,2w,SOD1
612935,NA,NA,40,NA,NA,Rat,500ug,2w,SOD1
612940,NA,NA,82,NA,NA,Rat,500ug,2w,SOD1
612941,NA,NA,24,NA,NA,Rat,500ug,2w,SOD1
612942,NA,NA,59,NA,NA,Rat,500ug,2w,SOD1
612943,NA,NA,45,NA,NA,Rat,500ug,2w,SOD1
612944,NA,NA,46,NA,NA,Rat,500ug,2w,SOD1
612924,NA,NA,47,NA,NA,Rat,500ug,2w,SOD1
612947,NA,NA,28,NA,NA,Rat,500ug,2w,SOD1
612948,NA,NA,14,NA,NA,Rat,500ug,2w,SOD1
612949,NA,NA,20,NA,NA,Rat,500ug,2w,SOD1
654304,NA,NA,83,NA,NA,Rat,500ug,2w,SOD1
654305,NA,NA,93,NA,NA,Rat,500ug,2w,SOD1
654306,NA,NA,82,NA,NA,Rat,500ug,2w,SOD1
654307,NA,NA,92,NA,NA,Rat,500ug,2w,SOD1
654334,NA,NA,71,NA,NA,Rat,500ug,2w,SOD1
666854,NA,NA,54,NA,NA,Rat,500ug,2w,SOD1
666855,NA,NA,73,NA,NA,Rat,500ug,2w,SOD1
666857,NA,NA,51,NA,NA,Rat,500ug,2w,SOD1
666858,NA,NA,70,NA,NA,Rat,500ug,2w,SOD1
666859,NA,NA,28,NA,NA,Rat,500ug,2w,SOD1
666864,NA,NA,55,NA,NA,Rat,500ug,2w,SOD1
666865,NA,NA,42,NA,NA,Rat,500ug,2w,SOD1
666866,NA,NA,38,NA,NA,Rat,500ug,2w,SOD1
666908,NA,NA,74,NA,NA,Rat,500ug,2w,SOD1
666923,NA,NA,64,NA,NA,Rat,500ug,2w,SOD1
654323,NA,NA,56,NA,NA,Rat,500ug,2w,SOD1
666846,NA,NA,43,NA,NA,Rat,500ug,2w,SOD1
666849,NA,NA,41,NA,NA,Rat,500ug,2w,SOD1
666853,NA,NA,22,NA,NA,Rat,500ug,2w,SOD1
666861,NA,NA,49,NA,NA,Rat,500ug,2w,SOD1
666867,NA,NA,46,NA,NA,Rat,500ug,2w,SOD1
666869,NA,NA,18,NA,NA,Rat,500ug,2w,SOD1
666870,NA,NA,28,NA,NA,Rat,500ug,2w,SOD1
666919,NA,NA,28,NA,NA,Rat,500ug,2w,SOD1
666921,NA,NA,32,NA,NA,Rat,500ug,2w,SOD1
666922,NA,NA,36,NA,NA,Rat,500ug,2w,SOD1
684059,NA,NA,46,NA,NA,Rat,500ug,2w,SOD1
684064,NA,NA,49,NA,NA,Rat,500ug,2w,SOD1
684068,NA,NA,82,NA,NA,Rat,500ug,2w,SOD1
684087,NA,NA,63,NA,NA,Rat,500ug,2w,SOD1
684088,NA,NA,69,NA,NA,Rat,500ug,2w,SOD1
684095,NA,NA,66,NA,NA,Rat,500ug,2w,SOD1
684097,NA,NA,78,NA,NA,Rat,500ug,2w,SOD1
684101,NA,NA,78,NA,NA,Rat,500ug,2w,SOD1
684104,NA,NA,89,NA,NA,Rat,500ug,2w,SOD1
424880,50,47,45,NA,NA,Mouse,300ug,2w,Tau
613045,88,62,53,NA,NA,Mouse,300ug,2w,Tau
613099,58,45,46,NA,NA,Mouse,300ug,2w,Tau
613118,36,27,42,NA,NA,Mouse,300ug,2w,Tau
613136,74,61,73,NA,NA,Mouse,300ug,2w,Tau
613255,70,54,64,NA,NA,Mouse,300ug,2w,Tau
613329,80,31,33,NA,NA,Mouse,300ug,2w,Tau
613344,59,58,66,NA,NA,Mouse,300ug,2w,Tau
613361,31,43,28,NA,NA,Mouse,300ug,2w,Tau
613369,83,52,54,NA,NA,Mouse,300ug,2w,Tau
613370,58,39,37,NA,NA,Mouse,300ug,2w,Tau
613397,67,59,43,NA,NA,Mouse,300ug,2w,Tau
623782,38,30,29,NA,NA,Mouse,300ug,2w,Tau
623996,26,31,24,NA,NA,Mouse,300ug,2w,Tau
763085,4,NA,NA,NA,NA,Mouse,300ug,2w,SNCA
763364,10,NA,NA,NA,NA,Mouse,300ug,2w,SNCA
763391,6,NA,NA,NA,NA,Mouse,300ug,2w,SNCA
789243,15,NA,NA,NA,NA,Mouse,300ug,2w,SNCA
827599,13,NA,NA,NA,NA,Mouse,300ug,2w,SNCA
749860,24,24,13,NA,NA,Mouse,350ug,2w,UBE3A-ATS
749861,50,48,26,NA,NA,Mouse,350ug,2w,UBE3A-ATS
749863,56,45,38,NA,NA,Mouse,350ug,2w,UBE3A-ATS
749865,88,97,64,NA,NA,Mouse,350ug,2w,UBE3A-ATS
749869,49,38,30,NA,NA,Mouse,350ug,2w,UBE3A-ATS
749882,34,29,30,NA,NA,Mouse,350ug,2w,UBE3A-ATS
749885,84,66,60,NA,NA,Mouse,350ug,2w,UBE3A-ATS
749893,42,35,28,NA,NA,Mouse,350ug,2w,UBE3A-ATS
749894,8,6,4,NA,NA,Mouse,350ug,2w,UBE3A-ATS
749907,66,48,52,NA,NA,Mouse,350ug,2w,UBE3A-ATS
749931,30,23,25,NA,NA,Mouse,350ug,2w,UBE3A-ATS
749969,12,14,14,NA,NA,Mouse,350ug,2w,UBE3A-ATS
749991,34,25,24,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750006,21,20,22,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750028,30,20,22,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750030,39,28,36,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750032,9,8,14,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750040,62,43,52,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750051,32,26,31,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750092,58,42,51,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750139,26,21,20,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750140,18,14,18,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750214,58,44,46,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750292,37,33,24,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750312,44,46,56,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750359,22,21,28,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750360,50,38,42,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750365,85,67,57,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750386,23,22,30,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750413,34,36,40,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750430,37,42,44,NA,NA,Mouse,350ug,2w,UBE3A-ATS
